AGE,MEAN,SD, OBESITY
1,10.4,1.4,15.3
2,12.4,1.8,18.3
3,14,1.8,21.2
4,16.3,2.1,24.2
5,18.7,3.3,28
6,20.4,3.7,30.1
7,23.3,3.8,33.1
8,26.6,4.8,37.4
9,29.6,6.2,41.8
10,32.4,5.9,46.3
11,38.2,9.2,53.4
12,41.2,10.3,60.5
13,49.9,8.8,68.7
14,55.1,10.6,80.7
15,58,11.6,84.6
16,58.3,8.3,81.6
17,59.5,9,83.5
18,62,9.5,86.5
19,60.2,12.2,87.4
20,67.7,13.5,96.2
21,63.6,8.9,87.5
22,65,10.7,90.7
23,62.1,11.4,88.5
24,65.1,11.7,91.8
25,64.7,10.5,90.2
26_29,68.3,13.2,96.5
30_39,68.3,12.3,95.6
40_49,70.3,10.8,96.1
50_59,68.7,11,94.7
60_69,65,9.5,89.5
>70,61.4,9.2,85.6
